Country,LocationCode,Alpha-3code,UNSDG-subregion,UNSDG-region,Continent,worldBankIncomeGroup
Burundi,108,BDI,Eastern Africa,Sub-Saharan Africa,Africa,Low-income Countries
Comoros,174,COM,Eastern Africa,Sub-Saharan Africa,Africa,Low-income Countries
Djibouti,262,DJI,Eastern Africa,Sub-Saharan Africa,Africa,Lower-middle-income Countries
Eritrea,232,ERI,Eastern Africa,Sub-Saharan Africa,Africa,Low-income Countries
Ethiopia,231,ETH,Eastern Africa,Sub-Saharan Africa,Africa,Low-income Countries
Kenya,404,KEN,Eastern Africa,Sub-Saharan Africa,Africa,Lower-middle-income Countries
Madagascar,450,MDG,Eastern Africa,Sub-Saharan Africa,Africa,Low-income Countries
Malawi,454,MWI,Eastern Africa,Sub-Saharan Africa,Africa,Low-income Countries
Mauritius,480,MUS,Eastern Africa,Sub-Saharan Africa,Africa,Upper-middle-income Countries
Mayotte,175,MYT,Eastern Africa,Sub-Saharan Africa,Africa,No income group available
Mozambique,508,MOZ,Eastern Africa,Sub-Saharan Africa,Africa,Low-income Countries
Réunion,638,REU,Eastern Africa,Sub-Saharan Africa,Africa,No income group available
Rwanda,646,RWA,Eastern Africa,Sub-Saharan Africa,Africa,Low-income Countries
Seychelles,690,SYC,Eastern Africa,Sub-Saharan Africa,Africa,High-income Countries
Somalia,706,SOM,Eastern Africa,Sub-Saharan Africa,Africa,Low-income Countries
South Sudan,728,SSD,Eastern Africa,Sub-Saharan Africa,Africa,Low-income Countries
Uganda,800,UGA,Eastern Africa,Sub-Saharan Africa,Africa,Low-income Countries
United Republic of Tanzania,834,TZA,Eastern Africa,Sub-Saharan Africa,Africa,Low-income Countries
Zambia,894,ZMB,Eastern Africa,Sub-Saharan Africa,Africa,Lower-middle-income Countries
Zimbabwe,716,ZWE,Eastern Africa,Sub-Saharan Africa,Africa,Low-income Countries
Angola,24,AGO,Middle Africa,Sub-Saharan Africa,Africa,Lower-middle-income Countries
Cameroon,120,CMR,Middle Africa,Sub-Saharan Africa,Africa,Lower-middle-income Countries
Central African Republic,140,CAF,Middle Africa,Sub-Saharan Africa,Africa,Low-income Countries
Chad,148,TCD,Middle Africa,Sub-Saharan Africa,Africa,Low-income Countries
Congo,178,COG,Middle Africa,Sub-Saharan Africa,Africa,Lower-middle-income Countries
Democratic Republic of the Congo,180,COD,Middle Africa,Sub-Saharan Africa,Africa,Low-income Countries
Equatorial Guinea,226,GNQ,Middle Africa,Sub-Saharan Africa,Africa,Upper-middle-income Countries
Gabon,266,GAB,Middle Africa,Sub-Saharan Africa,Africa,Upper-middle-income Countries
Sao Tome and Principe,678,STP,Middle Africa,Sub-Saharan Africa,Africa,Lower-middle-income Countries
Botswana,72,BWA,Southern Africa,Sub-Saharan Africa,Africa,Upper-middle-income Countries
Eswatini,748,SWZ,Southern Africa,Sub-Saharan Africa,Africa,Lower-middle-income Countries
Lesotho,426,LSO,Southern Africa,Sub-Saharan Africa,Africa,Lower-middle-income Countries
Namibia,516,NAM,Southern Africa,Sub-Saharan Africa,Africa,Upper-middle-income Countries
South Africa,710,ZAF,Southern Africa,Sub-Saharan Africa,Africa,Upper-middle-income Countries
Benin,204,BEN,Western Africa,Sub-Saharan Africa,Africa,Low-income Countries
Burkina Faso,854,BFA,Western Africa,Sub-Saharan Africa,Africa,Low-income Countries
Cabo Verde,132,CPV,Western Africa,Sub-Saharan Africa,Africa,Lower-middle-income Countries
Côte d'Ivoire,384,CIV,Western Africa,Sub-Saharan Africa,Africa,Lower-middle-income Countries
Gambia,270,GMB,Western Africa,Sub-Saharan Africa,Africa,Low-income Countries
Ghana,288,GHA,Western Africa,Sub-Saharan Africa,Africa,Lower-middle-income Countries
Guinea,324,GIN,Western Africa,Sub-Saharan Africa,Africa,Low-income Countries
